year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,15.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,27.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,80.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,86.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,111.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,126.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,173.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,200.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,223.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,279.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,333.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",341.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,364.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,410.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,467.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,477.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,480.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,770.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,807.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,850.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",920.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,930.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1034.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1056.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1075.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Activity unit,1140.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1170.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1247.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Salaries and wages paid,1435.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets,1676.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total expenditure,1773.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies",1806.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total income,1885.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Activity unit,1965.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,2067.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total expenditure,2344.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies",2396.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total income,2438.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,2555.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,2616.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,2895.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies",3060.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total income,3114.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,3522.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,3527.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,3649.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total assets,3984.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets,5482.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,6120.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total assets,6524.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,7419.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",a_0,Total expenditure,7618.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies",8187.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",a_0,Total income,8866.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total assets,9323.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total expenditure,12316.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,"Sales, government funding, grants and subsidies",13359.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total income,13771.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Rolling mean employees,13848.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees,13983.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees,14850.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Activity unit,21777.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,29185.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",31145.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Fixed tangible assets,31235.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",a_0,Fixed tangible assets,32155.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,32642.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Rolling mean employees,38136.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",a_0,Activity unit,46134.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total assets,52666.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",a_0,Total assets,55700.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,71652.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,76626.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,97878.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,133625.0,DOLLARS(millions)
